Titulo,Órgão julgador,Data de aprovação,Situação,Ramo do direito,Enunciado
"Súmula 423","Tribunal Pleno","01/06/1964","Aprovada","Processual Civil","Não transita em julgado a sentença por haver omitido o recurso ""ex officio"", que se considera interposto ""ex lege""."
"Súmula 405","Tribunal Pleno","01/06/1964","Aprovada","Processual Civil","Denegado o mandado de segurança pela sentença, ou no julgamento do agravo, dela interposto, fica sem efeito a liminar concedida, retroagindo os efeitos da decisão contrária."
"Súmula 400","Tribunal Pleno","03/04/1964","Aprovada","Processual Civil","Decisão que deu razoável interpretação à lei, ainda que não seja a melhor, não autoriza recurso extraordinário pela letra a do art. 101, III, da C.F."
"Súmula 399","Tribunal Pleno","03/04/1964","Aprovada","Processual Civil","Não cabe recurso extraordinário, por violação de lei federal, quando a ofensa alegada fôr a regimento de tribunal."
"Súmula 392","Tribunal Pleno","03/04/1964","Aprovada","Processual Civil","O prazo para recorrer de acórdão concessivo de segurança conta-se da publicação oficial de suas conclusões, e não da anterior ciência à autoridade para cumprimento da decisão."
"Súmula 391","Tribunal Pleno","03/04/1964","Aprovada","Processual Civil","O confinante certo deve ser citado, pessoalmente, para a ação de usucapião."
"Súmula 389","Tribunal Pleno","03/04/1964","Aprovada","Processual Civil","Salvo limite legal, a fixação de honorários de advogado, em complemento da condenação, depende das circunstâncias da causa, não dando lugar a recurso extraordinário."
"Súmula 369","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Julgados do mesmo Tribunal não servem para fundamentar o recurso extraordinário por divergência jurisprudencial."
"Súmula 368","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Não há embargos infringentes no processo de reclamação."
"Súmula 365","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Pessoa jurídica não tem legitimidade para propor ação popular."
"Súmula 363","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","A pessoa jurídica de direito privado pode ser demandada no domicílio da agência, ou estabelecimento, em que se praticou o ato."
"Súmula 360","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Não há prazo de decadência para a representação de inconstitucionalidade prevista no art. 8º, parágrafo único, da Constituição Federal."
"Súmula 356","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","O ponto omisso da decisão, sôbre o qual não foram opostos embargos declaratórios, não pode ser objeto de recurso extraordinário, por faltar o requisito do prequestionamento."
"Súmula 355","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Em caso de embargos infringentes parciais, é tardio o recurso extraordinário interposto após o julgamento dos embargos, quanto à parte da decisão embargada que não fôra por eles abrangida."
"Súmula 354","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Em caso de embargos infringentes parciais, é definitiva a parte da decisão embargada em que não houve divergência na votação."
"Súmula 353","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","São incabíveis os embargos da L. 623, de 19.2.49, com fundamento em divergência entre decisões da mesma Turma do Supremo Tribunal Federal."
"Súmula 343","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Não cabe ação rescisória por ofensa a literal disposição de lei, quando a decisão rescindenda se tiver baseado em texto legal de interpretação controvertida nos tribunais."
"Súmula 342","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Cabe agravo no auto do processo, e não agravo de petição, do despacho que não admite a reconvenção."
"Súmula 338","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Não cabe ação rescisória no âmbito da justiça do trabalho."
"Súmula 330","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","O Supremo Tribunal Federal não é competente para conhecer de mandado de segurança contra atos dos Tribunais de Justiça dos Estados."
"Súmula 325","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","As emendas ao regimento do Supremo Tribunal Federal, sôbre julgamento de questão constitucional, aplicam-se aos pedidos ajuizados e aos recursos interpostos anteriormente a sua aprovação."
"Súmula 322","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Não terá seguimento pedido ou recurso dirigido ao Supremo Tribunal Federal, quando manifestamente incabível, ou apresentado fora do prazo, ou quando for evidente a incompetência do Tribunal."
"Súmula 320","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","A apelação despachada pelo juiz no prazo legal não fica prejudicada pela demora da juntada, por culpa do cartório."
"Súmula 319","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","O prazo do recurso ordinário para o Supremo Tribunal Federal, em ""habeas corpus"" ou mandado de segurança, é de cinco dias."
"Súmula 317","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","São improcedentes os embargos declaratórios, quando não pedida a declaração do julgado anterior, em que se verificou a omissão."
"Súmula 310","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Quando a intimação tiver lugar na sexta-feira, ou a publicação com efeito de intimação fôr feita nesse dia, o prazo judicial terá início na segunda-feira imediata, salvo se não houver expediente, caso em que começará no primeiro dia útil que se seguir."
"Súmula 304","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Decisão denegatória de mandado de segurança, não fazendo coisa julgada contra o impetrante, não impede o uso da ação própria."
"Súmula 300","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","São incabíveis os embargos da L. 623, de 19.2.49, contra provimento de agravo para subida de recurso extraordinário."
"Súmula 299","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","O recurso ordinário e o extraordinário interpostos no mesmo processo de mandado de segurança, ou de ""habeas corpus"", serão julgados conjuntamente pelo Tribunal Pleno."
"Súmula 296","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","São inadmissíveis embargos infringentes sôbre matéria não ventilada, pela Turma, no julgamento do recurso extraordinário."
"Súmula 295","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","São inadmissíveis embargos infringentes contra decisão unânime do Supremo Tribunal Federal em ação rescisória."
"Súmula 294","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","São inadmissíveis embargos infringentes contra decisão do Supremo Tribunal Federal em mandado de segurança."
"Súmula 293","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","São inadmissíveis embargos infringentes contra decisão em matéria constitucional submetida ao plenário dos Tribunais."
"Súmula 292","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Interposto o recurso extraordinário por mais de um dos fundamentos indicados no art. 101, n. III, da Constituição, a admissão apenas por um dêles não prejudica o seu conhecimento por qualquer dos outros."
"Súmula 291","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","No recurso extraordinário pela letra ""d"" do art. 101, n. III, da Constituição, a prova do dissídio jurisprudencial far-se-á por certidão, ou mediante indicação do ""Diário da Justiça"" ou de repertório de jurisprudência autorizado, com a transcrição do trecho que configure a divergência, mencionadas as circunstâncias que identifiquem ou assemelhem os casos confrontados."
"Súmula 290","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Nos embargos da L. 623, de 19.2.49, a prova de divergência far-se-á por certidão, ou mediante indicação do ""Diário da Justiça"" ou de repertório de jurisprudência autorizado, que a tenha publicado, com a transcrição do trecho que configure a divergência, mencionadas as circunstâncias que identifiquem ou assemelhem os casos confrontados."
"Súmula 289","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","O provimento do agravo por uma das Turmas do Supremo Tribunal Federal ainda que sem ressalva, não prejudica a questão do cabimento do recurso extraordinário."
"Súmula 288","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Nega-se provimento a agravo para subida de recurso extraordinário, quando faltar no traslado o despacho agravado, a decisão recorrida, a petição de recurso extraordinário ou qualquer peça essencial à compreensão da controvérsia."
"Súmula 287","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Nega-se provimento ao agravo, quando a deficiência na sua fundamentação, ou na do recurso extraordinário, não permitir a exata compreensão da controvérsia."
"Súmula 286","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Não se conhece do recurso extraordinário fundado em divergência jurisprudencial, quando a orientação do plenário do Supremo Tribunal Federal já se firmou no mesmo sentido da decisão recorrida."
"Súmula 285","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Não sendo razoável a argüição de inconstitucionalidade, não se conhece do recurso extraordinário fundado na letra c do art. 101, III, da Constituição Federal."
"Súmula 284","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","É inadmissível o recurso extraordinário, quando a deficiência na sua fundamentação não permitir a exata compreensão da controvérsia."
"Súmula 283","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","É inadmissível o recurso extraordinário, quando a decisão recorrida assenta em mais de um fundamento suficiente e o recurso não abrange todos êles."
"Súmula 282","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","É inadmissível o recurso extraordinário, quando não ventilada, na decisão recorrida, a questão federal suscitada."
"Súmula 281","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","É inadmissível o recurso extraordinário, quando couber na Justiça de origem, recurso ordinário da decisão impugnada."
"Súmula 280","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Por ofensa a direito local não cabe recurso extraordinário."
"Súmula 279","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Para simples reexame de prova não cabe recurso extraordinário."
"Súmula 278","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","São cabíveis embargos em ação executiva fiscal contra decisão reformatória da de primeira instância, ainda que unânime."
"Súmula 277","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","São cabíveis embargos, em favor da Fazenda Pública, em ação executiva fiscal, não sendo unânime a decisão."
"Súmula 276","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Não cabe recurso de revista em ação executiva fiscal."
"Súmula 275","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Está sujeita a recurso ""ex officio"" sentença concessiva de reajustamento pecuário anterior à vigência da L. 2.804, de 25.6.56."
"Súmula 273","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Nos embargos da L. 623, de 19.2.49, a divergência sôbre questão prejudicial ou preliminar, suscitada após a interposição do recurso extraordinário, ou do agravo, somente será acolhida se o acórdão-padrão fôr anterior à decisão embargada."
"Súmula 272","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Não se admite como ordinário recurso extraordinário de decisão denegatória de mandado de segurança."
"Súmula 271","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Concessão de mandado de segurança não produz efeitos patrimoniais em relação a período pretérito, os quais devem ser reclamados administrativamente ou pela via judicial própria."
"Súmula 270","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Não cabe mandado de segurança para impugnar enquadramento da L. 3.780, de 12.7.60, que envolva exame de prova ou de situação funcional complexa."
"Súmula 269","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","O mandado de segurança não é substitutivo de ação de cobrança."
"Súmula 268","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Não cabe mandado de segurança contra decisão judicial com trânsito em julgado."
"Súmula 267","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Não cabe mandado de segurança contra ato judicial passível de recurso ou correição."
"Súmula 266","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Não cabe mandado de segurança contra lei em tese."
"Súmula 264","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Verifica-se a prescrição intercorrente pela paralisação da ação rescisória por mais de cinco anos."
"Súmula 263","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","O possuidor deve ser citado pessoalmente para a ação de usucapião."
"Súmula 262","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Não cabe medida possessória liminar para liberação alfandegária de automóvel."
"Súmula 261","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Para a ação de indenização, em caso de avaria, é dispensável que a vistoria se faça judicialmente."
"Súmula 259","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Para produzir efeito em juízo não é necessária a inscrição, no registro público, de documentos de procedência estrangeira, autenticados por via consular."
"Súmula 258","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","É admissível reconvenção em ação declaratória."
"Súmula 257","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","São cabíveis honorários de advogado na ação regressiva do segurador contra o causador do dano."
"Súmula 256","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","É dispensável pedido expresso para condenação do réu em honorários, com fundamento nos arts. 63 ou 64 do Cód. de Proc. Civil."
"Súmula 255","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Sendo ilíquida a obrigação, os juros moratórios, contra a Fazenda Pública, incluídas as autarquias, são contados do trânsito em julgado da sentença de liquidação."
"Súmula 254","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Incluem-se os juros moratórios na liquidação, embora omisso o pedido inicial ou a condenação."
"Súmula 253","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Nos embargos da L. 623, de 19.2.49, no Supremo Tribunal Federal, a divergência somente será acolhida, se tiver sido indicada na petição de recurso extraordinário."
